anon,comment,commenthidden,lang,minor,parentid,revid,roles,size,suppressed,tags,timestamp,title,user,userhidden
,بوت:الإبلاغ عن رابط معطوب أو مؤرشف V2.7,,ar,,28710550,29671261,main,189492,,,2018-07-30 08:09:07,الحرب على غزة 2014,JarBot,
,بوت:إضافة قالب,,ar,,28460835,28710550,main,189276,,,2018-05-21 00:50:55,الحرب على غزة 2014,JarBot,
,بوت:الإبلاغ عن رابط معطوب أو مؤرشف V2.6,,ar,,28459679,28460835,main,189242,,,2018-05-03 16:27:59,الحرب على غزة 2014,JarBot,
,بوت:إصلاح وسوم,,ar,,27901663,28459679,main,188111,,,2018-05-03 15:54:49,الحرب على غزة 2014,JarBot,
,إحصائية,,ar,,27375118,27901663,main,186153,,"mobile edit,mobile web edit,visualeditor",2018-03-21 19:49:35,الحرب على غزة 2014,MMC's,
,بوت:الإبلاغ عن رابط معطوب أو مؤرشف V2.5 (تجريبي),,ar,,27253893,27375118,main,185771,,,2018-02-10 10:48:28,الحرب على غزة 2014,JarBot,
,استرجاع تعديلات [[خاص:مساهمات/عبد الله السياف|عبد الله السياف]] ([[نقاش المستخدم:عبد الله السياف|نقاش]]) حتى آخر نسخة بواسطة [[مستخدم:JarBot|JarBot]],,ar,,27253750,27253893,main,170780,,mw-rollback,2018-02-04 21:13:34,الحرب على غزة 2014,إسلام,
,/* مؤتمر إعمار */,,ar,,27129412,27253750,main,170813,,"mobile edit,mobile web edit",2018-02-04 21:00:25,الحرب على غزة 2014,عبد الله السياف,
,بوت:التعريب V3.2,,ar,,27129292,27129412,main,170780,,,2018-01-31 00:32:43,الحرب على غزة 2014,JarBot,
,بوت:إزالة/إصلاح عنوان مرجع غير موجود,,ar,,25246724,27129292,main,170760,,,2018-01-31 00:26:08,الحرب على غزة 2014,JarBot,
,بوت:إزالة تصنيف عام لوجود تصنيف فرعي V2.7 (إزالة [[تصنيف:القضية الفلسطينية]]),,ar,,25042267,25246724,main,170012,,,2017-10-27 02:55:51,الحرب على غزة 2014,JarBot,
,استرجاع تعديلات [[خاص:مساهمات/مروان عزب|مروان عزب]] ([[نقاش المستخدم:مروان عزب|نقاش]]) حتى آخر نسخة بواسطة [[مستخدم:JarBot|JarBot]],,ar,,25042186,25042267,main,170061,,,2017-10-15 00:29:29,الحرب على غزة 2014,إسلام,
,/* طالع أيضا */,,ar,,24372946,25042186,main,170093,,,2017-10-15 00:11:26,الحرب على غزة 2014,مروان عزب,
,بوت:تدقيق إملائي (تجريبي),,ar,,23879915,24372946,main,170061,,,2017-09-07 10:16:57,الحرب على غزة 2014,JarBot,
,بوت:إضافة قالب حماية,,ar,,23822053,23879915,main,170061,,,2017-07-18 23:04:12,الحرب على غزة 2014,JarBot,
,بوت:التعريب,,ar,,23805507,23822053,main,170044,,,2017-07-13 01:51:40,الحرب على غزة 2014,JarBot,
,,,ar,,23702505,23805507,main,170004,,,2017-07-11 15:03:35,الحرب على غزة 2014,المتمرد,
,/* خلفية */,,ar,,23325073,23702505,main,169946,,visualeditor,2017-06-30 22:14:00,الحرب على غزة 2014,Ahmed Azam,
,بوت:إزالة تصنيف عام لوجود تصنيف فرعي,,ar,,23122273,23325073,main,145243,,,2017-05-21 23:11:14,الحرب على غزة 2014,JarBot,
,/*  التحركات الشعبية */,,ar,,23094722,23122273,main,145281,,,2017-04-25 14:38:20,الحرب على غزة 2014,Mohatatou,
,[[مستخدم:JarBot/التصانیف المعادلة|التصانیف المعادلة]],,ar,,22903975,23094722,main,145281,,,2017-04-20 20:18:48,الحرب على غزة 2014,JarBot,
