lang,link
ar,//tools.wmflabs.org/geohack/geohack.php?language=ar&pagename=%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D8%B9%D9%84%D9%89_%D8%BA%D8%B2%D8%A9_2014&params=30.6667_N_34.8333_E_globe:earth_type:landmark
ar,http://972mag.com/the-unfolding-lie-of-operation-protective-edge/93605
ar,http://abcnews.go.com/International/wireStory/israel-tunnel-explodes-gaza-border-17686902#.UKnxEIefvuE
ar,http://advar.ps/arab-and-international-news/140743.html
ar,http://akhbarelyom.com/news/newdetails/303978/1/%D9%85%D8%B5%D8%B1-%D8%AA%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%A7.html
ar,http://alamnews.ps/ar/news-cats/83/7203/%D9%85%D8%B4%D8%B9%D9%84:+%D9%86%D8%AA%D9%84%D9%82%D9%89+%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA+%D9%85%D9%86+%D8%AC%D9%87%D8%A7%D8%AA+%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+%D9%88%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9+%D9%84%D9%84%D8%AA%D9%87%D8%AF%D8%A6%D8%A9+%D9%88%D8%B3%D9%8A%D8%B1%D9%89+%D8%A7%D9%84%D8%B9%D8%AF%D9%88+%D9%85%D9%86%D8%A7+%D9%85%D8%A7+%D9%84%D8%A7+%D9%8A%D8%AA%D9%88%D9%82%D8%B9
ar,http://alhayat.com/Articles/3488256/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D9%8A%D8%AF%D9%8A%D9%86-%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A7%D9%84%D9%88%D8%AD%D8%B4%D9%8A-%D8%B9%D9%84%D9%89-
ar,http://alhayat.com/Articles/3495859/%D8%AA%D9%88%D9%86%D8%B3-%D8%AA%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%A5%D8%B9%D8%AA%D8%AF%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-
ar,http://alhayat.com/Articles/3692335/%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%AD%D9%8A-%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D9%8A%D8%A9-%D9%81%D9%8A--%D8%AA%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D9%88%D8%B3%D9%82%D9%88%D8%B7-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-60-%D9%82%D8%AA%D9%8A%D9%84%D8%A7%D9%8B
ar,http://alhayat.com/Articles/3709129/10-%D9%82%D8%AA%D9%84%D9%89-%D8%A8%D9%8A%D9%86%D9%87%D9%85-7-%D8%A3%D8%B7%D9%81%D8%A7%D9%84-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%84-%D9%88%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D9%84-16-%D8%AC%D8%AB%D8%A9-%D9%81%D9%8A-%D8%AE%D8%A7%D9%86%D9%8A%D9%88%D9%86%D8%B3
