,full_url,lang,summary,title
0,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D8%B9%D9%84%D9%89_%D8%BA%D8%B2%D8%A9_2014,ar,"الحرب على غزة 2014 نزاع عسكري بين إسرائيل وحركات المقاومة الفلسطينية في قطاع بدأ فعلياً يوم 8 يوليو 2014 والتي أطلق عليها الجيش الإسرائيلي عملية الجرف الصامد وردت كتائب عز الدين القسام بمعركة العصف المأكول  وردت حركة الجهاد الإسلامي بعملية البنيان المرصوص بعد موجة عنف تفجرت مع خطف وتعذيب وحرق الطفل محمد أبو خضير من شعفاط على أيدي مجموعة مستوطنين في 2 يوليو 2014،، وإعادة اعتقال العشرات من محرري صفقة شاليط، وأعقبها احتجاجات واسعة في القدس وداخل عرب 48 وكذلك مناطق الضفة الغربية، واشتدت وتيرتها بعد أن دهس إسرائيلي اثنين من العمال العرب قرب حيفا، وتخلل التصعيد قصف متبادل بين إسرائيل والمقاومة الفلسطينية في قطاع .
تخلل هذه الحرب عدة عمليات عسكرية مثل عملية ناحل عوز وعملية العاشر من رمضان.
وكان الهدف المعلن من العملية الإسرائيلية هو وقف إطلاق الصواريخ من غزة إلى إسرائيل، التي ازدادت بعد الحملة الإسرائيلية ضد حماس في الضفة الغربية في أعقاب عملية اختطاف وقتل ثلاثة مستوطنين إسرائيليين  في 12 حزيران / يونيه 2014 من قبل حركة حماس. [32] [33] [34] على العكس من ذلك، كان هدف حماس هو الحصول على الضغط الدولي لرفع الحصار الإسرائيلي على قطاع غزة، وإنهاء الهجوم الإسرائيلي، والحصول على طرف ثالث لمراقبة وضمان الامتثال لوقف إطلاق النار، [35] وإطلاق سراح الأسرى الفلسطينيين والتغلب على حالة الانعزال السياسي المفروة على الحركة.[36] يدعي البعض أن إسرائيل كانت أول من كسر اتفاق وقف إطلاق النار مع حماس في 13 يونيو، والذي كان قائمًا منذ نوفمبر 2012. [37] ومع ذلك، ذكرت إسرائيل أن الغارات الجوية على غزة كانت بمثابة رد فعل لإطلاق الصواريخ من قطاع غزة.
وفي 7 يوليو / تموز، وبعد مقتل سبعة من نشطاء حركة حماس في انفجار نفق في خان يونس، الذي نجم عن غارة جوية إسرائيلية (وفقًا لكل من حماس وناثان ثرال، وبي بي سي، ومسؤول كبير بجيش الدفاع الإسرائيلي [39]) أو انفجار عرضي للذخيرة (وفقًا لجيش الدفاع الإسرائيلي))، تحملت حماس المسؤولية عن إطلاق الصواريخ على إسرائيل، إذ أطلقت 40 صاروخًا باتجاه إسرائيل.
بدأت العملية رسميًا في اليوم التالي، وفي 17 يوليو، تم توسيع العملية لتشمل الغزو الإسرائيلي لقطاع غزة بهدف تدمير نظام الأنفاق في غزة؛ ثم انسحبت القوات البرية الإسرائيلية في 5 أغسطس. وفي 26 آب / أغسطس، أُعلن وقف إطلاق نار مفتوح. وبحلول ذلك التاريخ، أفاد جيش الدفاع الإسرائيلي أن حماس وحركة الجهاد الإسلامي وجماعات مسلحة أخرى أطلقت 4564 صاروخًا وقذائف هاون من قطاع غزة إلى إسرائيل، وتم اعتراض أكثر من 735 مقذوف أثناء القتال وإسقاطه بواسطة القبة الحديدية. أصابت معظم قذائف الهاون والصواريخ التي أُطلقت من غزة أراضٍ مفتوحة. بينما أصابت أكثر من 280 قذيفة مناطق متفرقة من غزة، وأصاب 224 منها مناطق سكنية. كما قتلت القذائف 13 مدنيًا من غزة، من بينهم 11 طفلًا.وهاجم الجيش الإسرائيلي 263 5 هدفًا في غزة؛ وتم تدمير ما لا يقل عن 34 نفق معروف ، ونفذت ثلثا ترسانة حماس البالغ عددها 10 آلاف صاروخ أو دُمرت.",الحرب على غزة 2014
1,https://az.wikipedia.org/wiki/Qoruyucu_S%C9%99rh%C9%99d_%C9%99m%C9%99liyyat%C4%B1,az,Qoruyucu Sərhəd əməliyyatı — 8 iyul 2014-cü ildə İsrail ordusunun Qəzzaya qarşı başladığı hücum əməliyyatıdır. İsrail ordu spikeri etdiyi şərhdə Qəzzadan İsrailin cənubuna atılan raketləri maneə törətmək məqsədiylə əməliyyat başladıldığını bildirib.,Qoruyucu Sərhəd əməliyyatı
2,https://be-x-old.wikipedia.org/wiki/%D0%90%D0%BF%D1%8D%D1%80%D0%B0%D1%86%D1%8B%D1%8F_%C2%AB%D0%9D%D0%B5%D0%BF%D0%B0%D1%80%D1%83%D1%88%D0%BD%D0%B0%D1%8F_%D1%81%D0%BA%D0%B0%D0%BB%D0%B0%C2%BB,be-x-old,"Апэрацыя «Непарушная скала» (па-габрэйску: מִבְצָע צוּק אֵיתָן‎, Міўца Цук Эйтан) — узброеная апэрацыя ізраільскага войска (ААІ) у палестынскім сэктары Газа, якая распачалася 8 ліпеня 2014 году пасьля эскаляцыі напружаньня між Ізраілем і Хамасам.
Падчас вышукаў выкрадзеных і забітых у чэрвені 2014 року ізраільскіх падлеткаў вайскоўцы Ізраілю забілі дзесяцёх палестынцаў і абкружылі каля 500 чальцоў Хамасу. У адказ Хамас павялічыў ракетныя атакі на Ізраіль. Да 7 ліпеня з сэктару Газа былі выпушчаныя 100 ракетаў па ізраільскай тэрыторыі ў бок Бэершэбы, Ашдоду, Афакіму, Ашкелону і Нэтывоту, у адказ Ізраіль ударыў па асобных месцах у Газе. Уночы зь 7 на 8 ліпеня Ізраіль атакаваў 50 мэтаў у паласе Газа, а палестынскія паўстанцы ў Газе за 24 гадзіны стрэлілі 140 ракетамі, якія дасягнулі Хадэры. Ізраільская проціракетная сыстэма абароны «Жалезны купал» перахапіла каля 30 зь іх. Ізраіль таксама перашкодзіў вайсковаму пранікненьню з мора.
14 ліпеня Эгіпет прапанаваў замірэньне. Ізральскі ўрад прыняў прапанову і ранкам 15 ліпеня часова спыніў баявыя дзеі. Аднак усе палестынскія арганізацыі адмовіліся спыніць агонь, заявіўшы, што ня бралі ўдзелу ў перамовах па замірэньні.
Цяперашняя апэрацыя стала самым жорсткім канфліктам у сэктары Газа з вайны 2008—2009 рокаў: паводле паведамленьня Міністэрства здароўя Газы, загінулі прынамсі 1000 і параненыя каля 6000 палестынцаў. Паводле зьвестак Управы па каардынацыі гуманітарных пытаньняў ААН, па стане на 26 ліпеня 676 забітых былі мірнымі грамадзянамі, 315 зь іх — жанчынамі і дзецьмі. Армія абароны Ізраілю абвінавачвае Хамас у выкарыстаньні насельніцтва як «жывога шчыта».
Праваахоўныя групы выказалі заклапочанасьць тым, што як палестынскія ракетныя ўдары, так і мэтанакіраваныя ўдары ізраільскага войска па жылых будынках парушаюць міжнародныя гуманітарныя законы і могуць паслужыць абвінавачваньнем у ваенных злачынствах.",Апэрацыя «Непарушная скала»
3,https://bn.wikipedia.org/wiki/%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AA_%E0%A6%87%E0%A6%B8%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%B0_%E0%A6%AB%E0%A6%BF%E0%A6%B2%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A8_%E0%A6%86%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%A3,bn,"২০১৪ ইসরায়েলের ফিলিস্তিন আক্রমণ বা ইসরায়েলের দেয়া কোড নাম মিভৎযা যুক এইতান (হিব্রু ভাষায়: מִבְצָע צוּק אֵיתָן‎) হচ্ছে ইসরায়েলি সামরিক বাহিনী কর্তৃক ৭ জুলাই মধ্যরাতে গাজা ভূখণ্ডে করা আক্রমণ। ইসরায়েলি সরকার গাজা থেকে আসা রকেটের পাল্টা জবাব হিসেবে দাবি করেছে।
এই ঘটনার সূত্রপাত ঘটে তিন ইসরায়েলি কিশোর হত্যাকে কেন্দ্র করে; যার জন্য ইসরায়েলি সরকার হামাসকে এই ঘটনার জন্য দায়ী করে। কিন্তু হামাস এই দাবি প্রত্যাখ্যান করে।  যদিও এই ঘটনার জন্য কয়েকশোর অধিক ফিলিস্তিনিকে পশ্চিম তীরে আটক করা হয়।  এই ঘটনার জের ধরে কয়েকজন কট্টর ইহুদি আবু খাদির নামের এক ১৬ বছর বয়সী কিশোরকে হত্যা করে। এই আক্রমণের ফলে ইসরায়েলের কেউ মারা না গেলেও; ২,১৪৩ এর অধিক ফিলিস্তিনি মারা যায় যার তিন চতুর্থাংশই বেসামরিক ব্যক্তি। এছাড়াও নিষ্করুণ ইসরায়েলি হামলার কারণে এখন পর্যন্ত প্রায় ১০,৮৯৫-জন ফিলিস্তিনির আহত হওয়ার খবর পাওয়া গিয়েছে। 
জাতিসংঘের মহাসচিব, বান কি মুন এই পরিস্থিতিকে ইসরায়েল-ফিলিস্তিন শান্তি আলোচনার জন্য বড় বাঁধা হিসেবে মন্তব্য করেছেন।",২০১৪ ইসরায়েলের ফিলিস্তিন আক্রমণ
4,https://bs.wikipedia.org/wiki/Operacija_%22Za%C5%A1titni_rub%22,bs,"Operacija ""Zaštitni rub"" (heb.:  מִבְצָע צוּק אֵיתָ Mivẓaʿ Ẓuq ʾÉyṯan, eng: ""Operation Protective Edge"") je vojna ofanziva izraelske vojske u pojasu Gaze. Do sada je u Gazi poginulo najmanje 1500 osoba a najmanje 7500 je ranjeno, preko 750000 stanovnika Gaze su u bijegu. Izrael je od 8. jula izgubio 56 vojnika, dok je 6 civila poginulo.","Operacija ""Zaštitni rub"""
5,https://ca.wikipedia.org/wiki/Operaci%C3%B3_Marge_Protector,ca,"L'Operació Marge Protector (hebreu: מִבְצָע צוּק אֵיתָן, Mivtza' Tzuk Eitan; vegeu Nom més avall) és una ofensiva militar de les Forces de Defensa d'Israel (FDI) contra la franja de Gaza iniciada el 8 de juliol de 2014. L'operació va anar precedida d'una escalada de violència a la zona, que va començar amb el segrest i assassinat de tres joves israelians el 12 de juny, del qual Israel va acusar a Hamas.Posteriorment el segrest i assassinat d'un noi palestí a Jerusalem Est va provocar revoltes als assentaments palestins i el llançament de diversos coets des de la Franja de Gaza, als que Israel va respondre amb bombardejos aeris. Després d'un intent fallit de treva el dia 4 Israel llençà formalment l'operació el dia 8 de juliol. En paraules israelianes, l'operació hauria de ser ""llarga"" i ""aturar el terror que molts israelians pateixen diàriament"".Diferents fonts adverteixen el mateix dia 8 d'un gran nombre d'atacs indiscriminats i fins a 18 baixes civils entre els palestins entre els quals hi hauria almenys tres menors. Les informacions a l'inici de la campanya senyalaven que el govern israelià hauria mobilitzat milers de reservistes i estaria preparant una ofensiva terrestre a gran escala.
El dia 10 es reportaren ja 76 morts palestines. xifra que va créixer fins a 192 el dia 15. El 14 de juliol, l'Oficina de les Nacions Unides per a la Coordinació d'Assumptes Humanitaris estimà que almenys el 77% dels morts eren civils, dels quals el 26% eren nens. Segons el Ministeri de Salut de Gaza, més de 1.400 palestins han resultat ferits. Les Forces de Defensa d'Israel estimaren que al voltant de 90 dels morts eren militants de Hamas, i afirma que Hamas feia servir la població de Gaza com a escuts humans, mentre que l'ONG israeliana B'tselem afirma que 10 dels atacs que han matat civils podrien constituir crims de guerra. El 13 de juliol s'havia informat de més de 1.300 atacs israelians, mentre que s'havien disparat més de 800 míssils des de Gaza cap a Israel.El 14 de juliol, Egipte va proposar un alto el foc. El govern d'Israel va acceptar la proposta, i va aturar temporalment les hostilitats el matí del 15 de juliol. No obstant això, Hamàs, que va dir que no havia estat consultat sobre l'alto el foc, el va rebutjar en ""la seva forma actual"". El 16 de juliol, Hamàs i Gihad Islàmic palestí va oferir a Israel una treva de 10 anys, amb 10 condicions. El Secretari d'Estat dels Estats Units, John Kerry, va visitar Egipte el 21 de juliol per negociar un alto el foc a Gaza.L'Operació Marge Protector és l'operació militar més letal que ha tingut lloc a Gaza des de la guerra de Gaza de 2008-2009. Almenys 508 palestins han estat morts. L'Oficina de les Nacions Unides per a la Coordinació d'Assumptes Humanitaris va estimar, utilitzant informació preliminar, que fins al 20 de juliol gairebé el 72% dels morts eren civils, dels quals el 44% eren dones o nens. Segons el Ministeri de Salut de Gaza, més de 3.008 palestins han resultat ferits. Les Forces de Defensa d'Israel estimen que, fins al 14 de juliol, al voltant de 90 dels morts eren militants de Hamàs, i va dir que Hamàs feia servir la població de Gaza com a ""escuts humans"", acusació que fou negada per Hamàs. El 19 de juliol, les autoritats israelianes també van advertir els periodistes internacionals que es trobaven a Gaza que Hamàs ""havia utilitzat en el passat als periodistes com a escuts humans"", cosa que fou negada pels periodistes. Les Forces de Defensa d'Israel van informar que fins al 13 de juliol s'havien produït més de 1.300 atacs israelians, mentre que s'havien disparat més de 800 míssils des de Gaza cap a Israel.Grups de drets humans han afirmat que els atacs amb coets palestins i la destrucció premeditada de les cases de membres de Hamàs i d'altres milícies feta per Israel violen del dret humanitari internacional i podrien constituir crims de guerra.",Operació Marge Protector
6,https://cs.wikipedia.org/wiki/Operace_Ochrann%C3%A9_ost%C5%99%C3%AD,cs,"Operace Ochranné ostří (hebrejsky מִבְצָע צוּק אֵיתָן‎‎ Mivca' Cuk Ejtan, doslova Operace Pevná skála, anglicky Operation Protective Edge) byla ofenzivní operace Izraelských obranných sil (IOS) vůči Pásmu Gazy ovládanému islamistickým hnutím Hamás, která byla zahájena 8. července 2014 po zostření situace mezi Izraelem a Hamásem.Ukončena byla stažením izraelských jednotek 26. srpna 2014.
Operace začala týden po nalezení tří mrtvých těl unesených a zavražděných izraelských mladíků na Západním břehu Jordánu, z jejichž vraždy Izrael obvinil dva členy hnutí Hamás navzdory tomu, že představitelé hnutí Hamás svou účast popřeli, ale připustili, že se tak mohlo stát bez vědomí politického křídla hnutí Při následné odvetné operaci Bratrův ochránce na potlačení buněk a infrastruktury Hamásu bylo zabito šest palestinských příslušníků Hamásu a dalších 600 osob bylo zatčeno.2. července, den po pohřbu unesených mladíků, byl unesen šestnáctiletý palestinský mladík Muhammad abú Chudajr a byl upálen zaživa. 6. července Šabak dopadl šest podezřelých z vraždy ve věku 16–25 let, kteří pocházejí všichni z ortodoxních židovských rodin. Již během Chudajrova pohřbu se maskovaní Palestinci střetli s izraelskými policisty, nepokoje se dále rozrostly do celého východního Jeruzaléma, na jih Izraele a do mnoha arabských vesnic po celé zemi. Izraelský premiér Netanjahu vraždu palestinského mladíka odsoudil a vrahy označil za ""židovské teroristy"". Kromě Muhammada abú Chudajra se navíc ve východním Jeruzalémě od 4. července pátrá po zmizelém palestinském chlapci.V téže době vzplanulo vzájemné raketové ostřelování mezi Izraelem a Pásmem Gazy a to navzdory nabídce příměří zprostředkovaného egyptskou rozvědkou. V pondělí 7. července bylo na Beerševu, Aškelon, Ašdod, Nes Cijonu (ležící asi 20 km od Ben Gurionova letiště) a mnohá další města vypáleno podle údajů IOS přibližně 80 raket. K útoku se přiznalo hnutí Hamás. Během noci na 8. července pokračovalo ostřelování izraelských měst z Pásma Gazy. Během dalšího dne na Izrael vyletělo více než 154 raket, z nichž Železná kopule zneškodnila 29 raket. Několik raket dokonce zasáhlo město Chaderu ležící asi 50 kilometrů severně od Tel Avivu. Izraelská armáda také potlačila několik pokusů Palestinců infiltrovat jih Izraele. Operace Ochranné ostří oficiálně začala v úterý 8. července 2014 v 1:30 hodin.Tiskový mluvčí prezidenta Státu Palestina Mahmúda Abbáse odsoudil izraelský útok na Pásmo Gazy a označil ho za vyhlášení války Palestincům, zároveň označil izraelský útok za otevřený masakr, proti kterému se mohou Palestinci bránit všemi legitimními prostředky. Mluvčí Izraelských obranných sil (IOS) v první informaci o zahájení akcí napsal doslova: IOS zahájila operaci Ochranné ostří v Gaze proti Hamásu k zastavení každodenního teroru vůči izraelským občanům.Operace Ochranné ostří je nejkrvavějším palestinsko-izraelským střetnutím od Druhé intifády a zároveň dosud nejdelší izraelskou vojenskou akcí v pásmu Gazy (operace Lité olovo na přelomu let 2008 a 2009 probíhala tři týdny a stála život 1300 Palestinců a 13 Izraelců).",Operace Ochranné ostří
7,https://cy.wikipedia.org/wiki/Ymosodiad_Israel_ar_Lain_Gaza_2014,cy,"Lansiwyd Ymosodiad Israel ar Lain Gaza 2014 (Hebraeg: מִבְצָע צוּק אֵיתָן, Mivtza' Tzuk Eitan, yn llythrennol: ""Ymgyrch y  Clogwyni Cedyrn""; Saesneg: Operation Protective Edge) ar 8 Gorffennaf 2014 gan Lu Amddiffyn Israel (IVF) yn swyddogol yn erbyn aelodau o Hamas ond erbyn 28ain o Awst roedd 2,145 o Balisteinaidd wedi eu lladd (80% sifiliaid) a 10,895 o Balesteiniaid wedi'u hanafu. Yn y cyfamser, lladdwyd 6 o sifiliaid Israelaidd. Cafwyd ymateb rhyngwladol chwyrn - gan fwyaf yn cytuno bod ymateb milwrol Israel yn rhy lawdrwm (""disproportional"").
Roedd yr ymosodiad hwn gan Israel yn dilyn sawl ffactor gan gynnwys lladd tri bachgen; ac roedd awdurdodau Israel yn beio Hamas. Gwadodd Hamas unrhyw gysylltiad â llofruddiaeth y tri bachgen. Ffactorau cefndirol eraill oedd bod cyflwr bywyd yn y Llain Gaza wedi gwaethygu'n arw ers ei droi'n warchae yn 2005 a methiant cynlluniau Unol Daleithiau America i greu cynllun heddwch derbyniol. Yn y gwrthdaro dilynol lladdodd byddin Israel 8 o Balesteiniaid ac arestiwyd cannoedd o bobl ganddynt. Ymatebodd Hamas drwy ddweud na fyddai'n ymatal hyd nes bod Israel yn rhyddhau'r bobl hyn.Erbyn y 12fed taniwyd 525 roced o Lain Gaza i gyfeiriad Israel ac ataliwyd 118 ohonynt gan system arfau Iron Dome Israel. Credir bod 22 o sifiliaid Israelaidd wedi derbyn mân-anafiadau.
Yr ymosodiad hwn oedd y mwyaf gwaedlyd yn Gaza ers 1957. Yn Ionawr 2015 cyhoeddwyd y byddai y Llys Troseddau Rhyngwladol yn agor Ymchwiliad i droseddau yn ymwneud ag Ymosodiad Israel ar Lain Gaza 2014.
Cyhoeddodd Amnest Rhyngwladol nad oedd unrhyw dystiolaeth bod sifiliaid wedi cael eu defnyddio fel tariannau i amddiffyn arfau neu bersonél. Cyhoeddodd Human Rights Watch fod ymateb llawdrwm Israel yn ""disproportionate"" and ""indiscriminate"".",Ymosodiad Israel ar Lain Gaza 2014
8,https://de.wikipedia.org/wiki/Operation_Protective_Edge,de,"Die Operation Protective Edge (hebräisch מִבְצָע צוּק אֵיתָן, Miv'tza Tzuk Eitan, „Operation starker Fels“, „Operation Schutzlinie“) war eine Militäroperation der israelischen Verteidigungsstreitkräfte. Sie begann am 8. Juli 2014 als Reaktion auf anhaltenden Raketenbeschuss Israels durch die Hamas und andere militante palästinensische Gruppen aus dem Gazastreifen und endete am 26. August 2014 mit einer unbefristeten Waffenruhe.
Die Militäroperation gehört zum Israelisch-Palästinensischen Konflikt und ist als solche Teil des Nahostkonflikts. In den Medien wurde auch die Bezeichnung Gaza-Krieg oder Gaza-Konflikt verwendet.",Operation Protective Edge
9,https://diq.wikipedia.org/wiki/%C4%9Eeza_sero_operasyon%C3%AA_%C4%B0sraili_2014,diq,"Ğeza sero operasyonê İsraili 2014 (İbranki: מִבְצָע צוּק אֵיתָן‎, Mivtza' Tzuk Eitan; Erebki: الحرب على غزة ) jew operasyono ke tarixê Temuz 8, 2014 de sıfte kerdo u tıra keno. İsrail eno operasyon koordine keno u zerrekê operasyoni de quwetê hewa, erd u deryay esti. Heziran 12 de hiri (3) İsrailic merde viniyao u İsrail qandê kıştoğanê İsrailican diyene operasyon ra kerdo. Bahdo yew Fılistinıc terefê İsrailıcan ra kışiyao u dı terefan miyan de gırey cıra kerdo. Hata ınka operasyonê İsraili de yew esker u sivilê İsrailıc u dıse u şeşti u ponc (265) Fılıstinıci merdê. İsrail ebe silahê teknolociki ra Ğeza sero şıno u Ğeza İsrail sero roketi erzıno. Operasyon tarixê 26 Ağustos de bı sulh peyni dayo. Her dı terefi ki veram (ğelıbıyet) kerdi ilan.",Ğeza sero operasyonê İsraili 2014
